id	county	rate
"39105"	"Meigs County, OH"	7.8
"39107"	"Mercer County, OH"	3.0
"21189"	"Owsley County, KY"	9.6
"39111"	"Monroe County, OH"	12.3
"39113"	"Montgomery County, OH"	4.7
"39115"	"Morgan County, OH"	8.4
"21197"	"Powell County, KY"	6.5
"21199"	"Pulaski County, KY"	4.9
"21201"	"Robertson County, KY"	5.1
"39117"	"Morrow County, OH"	4.6
"21203"	"Rockcastle County, KY"	5.6
"21205"	"Rowan County, KY"	5.0
"21113"	"Jessamine County, KY"	3.7
"21209"	"Scott County, KY"	3.5
"39015"	"Brown County, OH"	5.6
"39133"	"Portage County, OH"	4.8
"39135"	"Preble County, OH"	4.6
"39137"	"Putnam County, OH"	3.5
"21115"	"Johnson County, KY"	8.5
"39141"	"Ross County, OH"	5.4
"21097"	"Harrison County, KY"	4.0
"39145"	"Scioto County, OH"	7.6
"39147"	"Seneca County, OH"	4.7
"39149"	"Shelby County, OH"	4.0
"21117"	"Kenton County, KY"	3.8
"39101"	"Marion County, OH"	4.9
"21235"	"Whitley County, KY"	6.2
"21237"	"Wolfe County, KY"	9.1
"21239"	"Woodford County, KY"	2.9
"39161"	"Van Wert County, OH"	3.8
"42111"	"Somerset County, PA"	7.4
"39165"	"Warren County, OH"	3.9
"39125"	"Paulding County, OH"	4.5
"39169"	"Wayne County, OH"	3.7
"39171"	"Williams County, OH"	4.4
"39173"	"Wood County, OH"	3.8
"21081"	"Grant County, KY"	4.5
"39175"	"Wyandot County, OH"	3.5
"39127"	"Perry County, OH"	6.5
"54029"	"Hancock County, WV"	7.3
"39119"	"Muskingum County, OH"	6.2
"39129"	"Pickaway County, OH"	4.6
"39045"	"Fairfield County, OH"	4.0
"39131"	"Pike County, OH"	7.4
"39081"	"Jefferson County, OH"	8.8
"42085"	"Mercer County, PA"	5.6
"39047"	"Fayette County, OH"	4.5
"39103"	"Medina County, OH"	3.9
"54069"	"Ohio County, WV"	5.8
"39049"	"Franklin County, OH"	3.9
"42121"	"Venango County, PA"	6.8
"39051"	"Fulton County, OH"	4.4
"39121"	"Noble County, OH"	8.7
"39053"	"Gallia County, OH"	6.3
"39139"	"Richland County, OH"	5.4
"54103"	"Wetzel County, WV"	10.1
"21135"	"Lewis County, KY"	8.7
"42003"	"Allegheny County, PA"	4.9
"21137"	"Lincoln County, KY"	5.8
"39143"	"Sandusky County, OH"	4.6
"42123"	"Warren County, PA"	5.1
"21119"	"Knott County, KY"	9.9
"39123"	"Ottawa County, OH"	6.5
"42073"	"Lawrence County, PA"	6.6
"39151"	"Stark County, OH"	5.5
"42005"	"Armstrong County, PA"	7.1
"39067"	"Harrison County, OH"	7.8
"39153"	"Summit County, OH"	5.0
"42125"	"Washington County, PA"	6.2
"39155"	"Trumbull County, OH"	6.7
"39071"	"Highland County, OH"	6.1
"39157"	"Tuscarawas County, OH"	5.6
"21067"	"Fayette County, KY"	3.3
"39073"	"Hocking County, OH"	5.2
"39057"	"Greene County, OH"	4.1
"39159"	"Union County, OH"	3.5
"54051"	"Marshall County, WV"	8.6
"54009"	"Brooke County, WV"	7.4
"42007"	"Beaver County, PA"	6.1
"54095"	"Tyler County, WV"	8.6
"39109"	"Miami County, OH"	4.1
"39163"	"Vinton County, OH"	7.1
"39041"	"Delaware County, OH"	3.3
"39079"	"Jackson County, OH"	7.7
"21191"	"Pendleton County, KY"	4.4
"42059"	"Greene County, PA"	7.4
"21089"	"Greenup County, KY"	7.7
"39167"	"Washington County, OH"	6.7
